commune,latitude,longitude,date_incident,type_incident,gravite,source
Kimbanseke,-4.428673730913633,15.393513761196616,2023-03-26 10:00:00,violence sexuelle,Faible,application Kimia-kin
NSele,-4.4162715816515234,15.501658743580498,2023-09-21 12:00:00,agression,Élevée,réseaux sociaux
Selembao,-4.375351476852864,15.284067735371819,2023-12-11 11:00:00,agression,Moyenne,ONG
Matete,-4.38989584096842,15.368502063992578,2023-03-27 19:00:00,vol,Élevée,réseaux sociaux
Selembao,-4.383286919030539,15.277853198220862,2023-12-30 20:00:00,violence sexuelle,Faible,ONG
Matete,-4.3955807122352555,15.353854574082286,2023-03-12 20:00:00,vol,Moyenne,réseaux sociaux
Selembao,-4.386103128759955,15.283727854947585,2023-09-14 20:00:00,vol,Élevée,ONG
Ngaba,-4.385476173552546,15.309352001559143,2023-11-01 23:00:00,insécurité routière,Moyenne,ONG
Kimbanseke,-4.4413369275219585,15.38977063878087,2023-12-22 20:00:00,vol,Moyenne,application Kimia-kin
Makala,-4.376763807876046,15.308933232652228,2023-02-09 18:00:00,enlèvement,Moyenne,application Kimia-kin
Matete,-4.386264623673917,15.350208547986531,2023-04-07 21:00:00,vol,Moyenne,application Kimia-kin
Bumbu,-4.354568989468241,15.295811615294369,2023-01-21 23:00:00,vol,Faible,réseaux sociaux
Matete,-4.379660454796256,15.358657068652466,2023-09-21 20:00:00,incendie,Moyenne,réseaux sociaux
Matete,-4.3791072234853585,15.341316342274999,2023-08-13 18:00:00,agression,Moyenne,réseaux sociaux
Bumbu,-4.372827701605241,15.299168395114146,2023-01-07 18:00:00,violence sexuelle,Faible,réseaux sociaux
Ngaba,-4.384092951563289,15.323001827020846,2023-10-23 20:00:00,insécurité routière,Élevée,ONG
Bumbu,-4.362177075633715,15.29282416649289,2023-08-07 17:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.36524939413409,15.304094481968129,2023-04-24 05:00:00,violence sexuelle,Moyenne,réseaux sociaux
Bumbu,-4.375219120481996,15.290566970404308,2023-04-14 09:00:00,violence sexuelle,Moyenne,réseaux sociaux
Matete,-4.389951592421561,15.345193998220706,2023-07-26 18:00:00,vol,Élevée,réseaux sociaux
Matete,-4.377910300921169,15.349469577540376,2023-05-31 23:00:00,violence sexuelle,Moyenne,ONG
Kasa-Vubu,-4.330516263323626,15.294082460028639,2023-04-12 12:00:00,vol,Élevée,application Kimia-kin
Selembao,-4.358798264171425,15.276810759732758,2023-04-21 08:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.375220367428967,15.296785585003628,2023-01-04 17:00:00,vol,Faible,réseaux sociaux
Bumbu,-4.367107266931835,15.295807418453276,2023-09-22 17:00:00,agression,Moyenne,ONG
Kimbanseke,-4.441091127072054,15.386773865931174,2023-03-27 18:00:00,violence sexuelle,Élevée,application Kimia-kin
NSele,-4.42484931296754,15.50064187268923,2023-05-17 11:00:00,vol,Élevée,ONG
Kimbanseke,-4.44225800743179,15.403207035858452,2023-08-02 14:00:00,vol,Moyenne,ONG
Kimbanseke,-4.440432492681712,15.398404089294866,2023-11-13 20:00:00,accident,Moyenne,réseaux sociaux
Ngaba,-4.371949389318148,15.31828413416775,2023-09-29 17:00:00,agression,Faible,application Kimia-kin
Matete,-4.395101201645805,15.34935087242224,2023-08-15 20:00:00,vol,Moyenne,ONG
Kimbanseke,-4.4445136074808005,15.39060313698262,2023-04-05 17:00:00,agression,Faible,application Kimia-kin
Kimbanseke,-4.429498515263096,15.401642953105465,2023-02-12 11:00:00,vol,Élevée,application Kimia-kin
Masina,-4.383959676199088,15.387808236698772,2023-07-01 08:00:00,insécurité routière,Moyenne,ONG
Matete,-4.384675321213362,15.34939414600132,2023-06-30 03:00:00,agression,Faible,ONG
Bumbu,-4.377504578781702,15.293775598725594,2023-05-22 08:00:00,agression,Élevée,ONG
Bumbu,-4.362672114315266,15.293326960126029,2023-09-27 04:00:00,agression,Élevée,application Kimia-kin
Kasa-Vubu,-4.349062802485723,15.313215910832678,2023-01-06 16:00:00,vol,Moyenne,ONG
Matete,-4.3880499437651785,15.33971461747456,2023-07-09 18:00:00,vol,Moyenne,ONG
Kimbanseke,-4.453651964260119,15.401941694032748,2023-12-06 08:00:00,agression,Élevée,réseaux sociaux
Barumbu,-4.3300604351703935,15.338935857361642,2023-09-30 20:00:00,violence sexuelle,Moyenne,réseaux sociaux
Matete,-4.380715102609484,15.346497276003111,2023-10-10 09:00:00,vol,Faible,application Kimia-kin
MontNgafula,-4.455942312023539,15.23978046775565,2023-05-25 19:00:00,vol,Moyenne,réseaux sociaux
Selembao,-4.376993091572865,15.28075656139372,2023-11-14 17:00:00,enlèvement,Moyenne,réseaux sociaux
Bumbu,-4.371597441284317,15.29824128750206,2023-01-22 18:00:00,incendie,Moyenne,réseaux sociaux
Kinshasa,-4.327520869356141,15.313024195939871,2023-11-26 08:00:00,vol,Élevée,réseaux sociaux
Ngaba,-4.380105223087374,15.333040334720744,2023-06-23 19:00:00,vol,Élevée,réseaux sociaux
Bumbu,-4.37267278694884,15.300850719115264,2023-06-11 18:00:00,agression,Élevée,ONG
Ngaba,-4.366394886822865,15.310094676594728,2023-07-09 20:00:00,violence sexuelle,Élevée,réseaux sociaux
Ngaba,-4.3756353055769965,15.314843270380686,2023-06-03 11:00:00,vol,Moyenne,réseaux sociaux
Ngaba,-4.388591834667546,15.32422897017856,2023-07-26 16:00:00,vandalisme,Faible,réseaux sociaux
Selembao,-4.400657421624719,15.297869765701757,2023-02-01 09:00:00,vol,Élevée,ONG
Selembao,-4.364417553453203,15.291400711531711,2023-06-18 20:00:00,vol,Moyenne,réseaux sociaux
Masina,-4.396724529915755,15.39075519816551,2023-09-24 19:00:00,accident,Moyenne,application Kimia-kin
Bumbu,-4.3858141399467945,15.308697903353407,2023-12-09 20:00:00,violence sexuelle,Élevée,ONG
NSele,-4.412604105994561,15.503463318655673,2023-04-15 22:00:00,accident,Élevée,application Kimia-kin
Kimbanseke,-4.4439676095899125,15.37633297545314,2023-12-13 18:00:00,vol,Élevée,réseaux sociaux
Ngaba,-4.387226337806782,15.31693799319377,2023-04-18 06:00:00,vol,Faible,réseaux sociaux
Limete,-4.384694927510916,15.331563192235748,2023-06-03 22:00:00,vol,Moyenne,réseaux sociaux
Selembao,-4.357957329115726,15.28142506246045,2023-08-28 08:00:00,violence sexuelle,Faible,application Kimia-kin
Bumbu,-4.38162365486122,15.304519603743183,2023-06-03 06:00:00,agression,Moyenne,réseaux sociaux
Bumbu,-4.365061321919898,15.318148289216651,2023-03-09 17:00:00,agression,Moyenne,application Kimia-kin
Ngaba,-4.368918470935416,15.331812957086433,2023-05-26 21:00:00,vol,Faible,ONG
Bumbu,-4.373915537894609,15.289015916949488,2023-12-13 22:00:00,vol,Faible,ONG
Lemba,-4.397552227775262,15.308480452569023,2023-08-29 18:00:00,violence sexuelle,Moyenne,ONG
Matete,-4.394517212165126,15.362795750400068,2023-03-15 08:00:00,violence sexuelle,Faible,ONG
Matete,-4.3836443561875615,15.353549832651877,2023-10-11 09:00:00,vol,Faible,réseaux sociaux
Matete,-4.390216909776095,15.351322134748552,2023-08-27 19:00:00,vol,Élevée,réseaux sociaux
Lingwala,-4.320812502828357,15.292828320858321,2023-06-01 00:00:00,vol,Faible,réseaux sociaux
Matete,-4.39474652685093,15.342982638682745,2023-03-16 18:00:00,vol,Faible,réseaux sociaux
Bumbu,-4.372323519547278,15.280253860357318,2023-01-12 20:00:00,vol,Moyenne,réseaux sociaux
Ngaba,-4.367085245631569,15.308063405982494,2023-08-22 23:00:00,vol,Faible,application Kimia-kin
Ngaba,-4.366384705116958,15.317841409791267,2023-10-11 08:00:00,accident,Faible,application Kimia-kin
Kimbanseke,-4.440231230449991,15.406878875654503,2023-03-12 18:00:00,accident,Moyenne,réseaux sociaux
Bumbu,-4.375485868428242,15.302419923177426,2023-08-03 21:00:00,agression,Moyenne,application Kimia-kin
Gombe,-4.305662135983299,15.305880010957077,2023-01-17 20:00:00,enlèvement,Moyenne,application Kimia-kin
Bumbu,-4.379665291027046,15.290472594251666,2023-05-10 11:00:00,vol,Faible,ONG
Barumbu,-4.320612929639738,15.327663190351899,2023-06-17 21:00:00,agression,Moyenne,réseaux sociaux
Ngaba,-4.383335564296169,15.29745940035498,2023-07-10 18:00:00,agression,Moyenne,réseaux sociaux
Ngaba,-4.384329939467623,15.306556201468258,2023-12-04 19:00:00,enlèvement,Élevée,application Kimia-kin
Bumbu,-4.378392781753231,15.290020871545877,2023-05-07 18:00:00,violence sexuelle,Moyenne,réseaux sociaux
Matete,-4.39358720571176,15.35143214151442,2023-04-23 15:00:00,enlèvement,Faible,ONG
Matete,-4.389036427611054,15.358912503622172,2023-01-11 03:00:00,accident,Faible,ONG
Matete,-4.394844451209037,15.348263292874963,2023-11-22 23:00:00,violence sexuelle,Faible,réseaux sociaux
Ngaba,-4.375519456714806,15.315924663230946,2023-09-24 12:00:00,insécurité routière,Élevée,ONG
Ngaba,-4.381137340006308,15.31582341017551,2023-10-18 16:00:00,vol,Élevée,application Kimia-kin
Selembao,-4.3718336344494535,15.293614459313398,2023-02-21 10:00:00,agression,Faible,réseaux sociaux
Ngaba,-4.384540001694677,15.313725248981827,2023-01-12 13:00:00,vol,Faible,ONG
Maluku,-4.087096127605042,15.553680429676765,2023-04-12 19:00:00,vol,Moyenne,réseaux sociaux
Selembao,-4.369397023521605,15.272692154686528,2023-08-08 16:00:00,enlèvement,Moyenne,réseaux sociaux
Kimbanseke,-4.45111003289484,15.38946337185071,2023-04-24 22:00:00,vol,Moyenne,réseaux sociaux
NgiriNgiri,-4.358401323355631,15.306381628539038,2023-10-15 18:00:00,accident,Moyenne,réseaux sociaux
Selembao,-4.373495257977733,15.291667591383403,2023-10-29 20:00:00,agression,Faible,application Kimia-kin
Ngaba,-4.378444419702524,15.323260981930563,2023-11-01 12:00:00,agression,Élevée,ONG
Matete,-4.387653556782635,15.353450045742166,2023-10-07 19:00:00,agression,Élevée,réseaux sociaux
Selembao,-4.371486581996448,15.27691460111738,2023-12-21 19:00:00,agression,Moyenne,ONG
Bumbu,-4.368966557521381,15.29987342029693,2023-05-05 15:00:00,agression,Élevée,réseaux sociaux
Kimbanseke,-4.447524873306678,15.399059115139835,2023-07-27 22:00:00,vol,Faible,application Kimia-kin
Kimbanseke,-4.447827838764512,15.387926233156238,2023-08-09 17:00:00,enlèvement,Faible,réseaux sociaux
Maluku,-4.074841173682393,15.535295289993872,2023-07-02 09:00:00,agression,Élevée,application Kimia-kin
Kimbanseke,-4.435395531988385,15.384155221954561,2023-03-01 02:00:00,vol,Faible,ONG
Bumbu,-4.371260848189069,15.299425199405228,2023-01-19 21:00:00,insécurité routière,Moyenne,application Kimia-kin
Kimbanseke,-4.430405171660312,15.402847902733352,2023-12-01 20:00:00,vol,Moyenne,réseaux sociaux
Maluku,-4.0796362700172,15.534545410651626,2023-10-06 08:00:00,vol,Élevée,réseaux sociaux
Bumbu,-4.3567653592468165,15.293570901514599,2023-11-26 18:00:00,vol,Faible,réseaux sociaux
Ngaba,-4.388364711075668,15.323044571539373,2023-02-24 13:00:00,violence sexuelle,Moyenne,réseaux sociaux
Kimbanseke,-4.43670393701736,15.381366897028313,2023-03-08 14:00:00,agression,Faible,réseaux sociaux
Bumbu,-4.359141309034935,15.300550248343479,2023-01-16 14:00:00,agression,Faible,réseaux sociaux
Lingwala,-4.322743365379544,15.294989029499199,2023-12-10 16:00:00,agression,Moyenne,ONG
Ngaba,-4.372943236692215,15.319865125626913,2023-10-26 21:00:00,agression,Moyenne,réseaux sociaux
Bumbu,-4.347338944485287,15.292681036509933,2023-07-09 09:00:00,vol,Moyenne,application Kimia-kin
Gombe,-4.297883639461326,15.311166256692484,2023-05-31 02:00:00,incendie,Moyenne,ONG
Ngaba,-4.369342951105542,15.301080018469003,2023-04-23 20:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.3671686779952985,15.29619063451192,2023-09-08 18:00:00,vandalisme,Faible,réseaux sociaux
Kimbanseke,-4.448764501857551,15.40323727588145,2023-04-28 10:00:00,enlèvement,Moyenne,application Kimia-kin
Matete,-4.3769374486520185,15.339563751595941,2023-06-12 15:00:00,insécurité routière,Moyenne,réseaux sociaux
Kimbanseke,-4.428134418944152,15.399358589660022,2023-05-16 01:00:00,agression,Moyenne,réseaux sociaux
Makala,-4.380351998292609,15.308099272264279,2023-10-05 21:00:00,violence sexuelle,Faible,application Kimia-kin
Ngaba,-4.375682540543249,15.334118573706592,2023-03-13 20:00:00,agression,Élevée,réseaux sociaux
Matete,-4.393504805196089,15.355571905821064,2023-08-08 22:00:00,vol,Faible,ONG
Kinshasa,-4.3306523429998105,15.308684725145989,2023-02-20 12:00:00,insécurité routière,Faible,ONG
Selembao,-4.372908150528779,15.286521964810523,2023-11-05 22:00:00,violence sexuelle,Faible,ONG
Matete,-4.397786794966324,15.34816617853732,2023-03-23 18:00:00,vol,Moyenne,réseaux sociaux
Kiseno,-4.409251875834669,15.349942057900906,2023-01-08 17:00:00,accident,Faible,réseaux sociaux
Bumbu,-4.364544553827228,15.303887909374986,2023-09-04 20:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.372874020685884,15.295313290456484,2023-11-07 01:00:00,vol,Moyenne,ONG
MontNgafula,-4.460939346525855,15.247754126556844,2023-11-14 19:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.360176487382341,15.28447440348885,2023-03-26 09:00:00,insécurité routière,Élevée,application Kimia-kin
Bumbu,-4.3777719211146495,15.300222822133902,2023-08-20 23:00:00,vandalisme,Faible,ONG
Matete,-4.390225473525556,15.36506453940726,2023-03-22 18:00:00,insécurité routière,Moyenne,réseaux sociaux
Selembao,-4.371996722091485,15.283524273991446,2023-06-23 17:00:00,incendie,Élevée,application Kimia-kin
Ngaba,-4.373968475622599,15.327417127625191,2023-02-15 02:00:00,agression,Élevée,ONG
Selembao,-4.373182315764029,15.283209872219986,2023-06-02 18:00:00,insécurité routière,Élevée,application Kimia-kin
Selembao,-4.366182352082539,15.28475964786232,2023-07-22 01:00:00,vandalisme,Faible,ONG
Barumbu,-4.32747772990701,15.338663119252478,2023-07-09 16:00:00,agression,Élevée,ONG
Matete,-4.390826883241619,15.345562314957533,2023-01-01 20:00:00,insécurité routière,Moyenne,réseaux sociaux
Selembao,-4.3666799424073455,15.284916839504092,2023-10-27 21:00:00,agression,Faible,réseaux sociaux
Kiseno,-4.413714880285817,15.345391896616215,2023-01-28 13:00:00,vol,Faible,réseaux sociaux
Kimbanseke,-4.436878721303696,15.397450737871793,2023-04-19 19:00:00,vol,Faible,réseaux sociaux
Selembao,-4.355191516267242,15.280562769028135,2023-01-06 09:00:00,insécurité routière,Faible,réseaux sociaux
Kiseno,-4.40630497135305,15.34400460540858,2023-03-08 07:00:00,insécurité routière,Faible,réseaux sociaux
Ngaba,-4.375495225423899,15.325365259338643,2023-11-13 19:00:00,agression,Élevée,application Kimia-kin
Ngaba,-4.37784866563256,15.330442726317417,2023-05-18 20:00:00,agression,Élevée,ONG
Kimbanseke,-4.431083367496298,15.38829734019989,2023-04-18 12:00:00,agression,Élevée,ONG
Barumbu,-4.323411112168635,15.332562669092832,2023-06-14 06:00:00,insécurité routière,Moyenne,ONG
Kimbanseke,-4.449655482019746,15.386046294062703,2023-06-02 19:00:00,vol,Moyenne,réseaux sociaux
Kimbanseke,-4.442732605261614,15.398107175733847,2023-07-06 20:00:00,vol,Faible,réseaux sociaux
Selembao,-4.381954404269227,15.289868954754143,2023-11-16 19:00:00,insécurité routière,Moyenne,réseaux sociaux
Kimbanseke,-4.448005072011352,15.402763539859317,2023-02-08 22:00:00,vol,Moyenne,application Kimia-kin
Kasa-Vubu,-4.35115949223326,15.298604587755293,2023-07-12 17:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.368062370142716,15.294616688958758,2023-08-03 08:00:00,vol,Faible,ONG
Ngaba,-4.383015253985526,15.306906561974223,2023-09-27 05:00:00,vol,Moyenne,réseaux sociaux
Kimbanseke,-4.437831959247992,15.388750634083179,2023-10-20 15:00:00,violence sexuelle,Moyenne,réseaux sociaux
Matete,-4.387660579776594,15.356119670344691,2023-08-05 09:00:00,vol,Moyenne,application Kimia-kin
Matete,-4.400477667373446,15.363059662791537,2023-12-31 12:00:00,insécurité routière,Moyenne,application Kimia-kin
Kimbanseke,-4.448881595282824,15.402220019785624,2023-09-18 19:00:00,enlèvement,Moyenne,ONG
Ngaba,-4.388595636933508,15.331511836217953,2023-02-17 12:00:00,vol,Moyenne,application Kimia-kin
Barumbu,-4.322729001637132,15.326944674969893,2023-11-12 19:00:00,enlèvement,Moyenne,application Kimia-kin
Ngaba,-4.38393419806617,15.304088728091662,2023-05-22 19:00:00,vol,Élevée,application Kimia-kin
Selembao,-4.349978948495784,15.293815588970487,2023-03-29 08:00:00,violence sexuelle,Moyenne,réseaux sociaux
Kimbanseke,-4.442512190687846,15.387977606963487,2023-12-23 18:00:00,agression,Faible,réseaux sociaux
Bumbu,-4.373881192429944,15.304312800074714,2023-07-29 08:00:00,agression,Faible,ONG
Kimbanseke,-4.439766259799757,15.400391637229939,2023-02-24 18:00:00,violence sexuelle,Faible,application Kimia-kin
Selembao,-4.369162967356685,15.274676667640955,2023-09-13 20:00:00,vol,Faible,réseaux sociaux
Kimbanseke,-4.442797503642379,15.394517706641908,2023-02-23 15:00:00,violence sexuelle,Moyenne,ONG
Matete,-4.370823272778286,15.351982308432486,2023-04-25 21:00:00,insécurité routière,Moyenne,ONG
Kimbanseke,-4.440387766840203,15.383709475574616,2023-01-24 09:00:00,vol,Moyenne,application Kimia-kin
Ngaba,-4.380916608322641,15.323398478703188,2023-03-27 22:00:00,enlèvement,Élevée,réseaux sociaux
Matete,-4.3797810924772005,15.336035379344759,2023-08-19 16:00:00,vol,Élevée,réseaux sociaux
Matete,-4.395666117342086,15.351203539777021,2023-09-19 17:00:00,vol,Moyenne,application Kimia-kin
Limete,-4.375970347527858,15.345767328312256,2023-03-24 15:00:00,violence sexuelle,Moyenne,réseaux sociaux
Selembao,-4.3697075917037225,15.287965334870083,2023-07-28 17:00:00,incendie,Faible,ONG
Kimbanseke,-4.447248819641468,15.40472093682289,2023-10-18 21:00:00,violence sexuelle,Faible,réseaux sociaux
Kimbanseke,-4.4464679877590125,15.388967814629403,2023-02-06 18:00:00,agression,Moyenne,réseaux sociaux
Kimbanseke,-4.445508007220513,15.377327635020523,2023-03-17 11:00:00,violence sexuelle,Élevée,application Kimia-kin
Ngaba,-4.3805593982070805,15.326859710987979,2023-02-18 21:00:00,vol,Moyenne,réseaux sociaux
Selembao,-4.376724313687493,15.282357849356444,2023-05-31 23:00:00,enlèvement,Moyenne,ONG
Kimbanseke,-4.43831350265607,15.399763646798442,2023-12-16 16:00:00,vol,Élevée,réseaux sociaux
Ngaba,-4.370346533021756,15.31987313115503,2023-02-14 16:00:00,vol,Moyenne,ONG
Bumbu,-4.373972757212781,15.30140980135361,2023-05-17 11:00:00,vol,Élevée,réseaux sociaux
Selembao,-4.377252343551132,15.27790768029031,2023-11-29 16:00:00,vandalisme,Faible,réseaux sociaux
Matete,-4.3822717849810875,15.349222557401646,2023-02-13 19:00:00,vol,Moyenne,réseaux sociaux
Ngaba,-4.373618532602396,15.321706030568562,2023-11-14 22:00:00,insécurité routière,Moyenne,ONG
Selembao,-4.381418529217566,15.28303647616985,2023-04-25 17:00:00,agression,Moyenne,application Kimia-kin
Ngaba,-4.374374791353471,15.319605983574066,2023-10-03 21:00:00,vol,Faible,application Kimia-kin
Limete,-4.363926151968237,15.340457365591714,2023-07-15 20:00:00,vol,Moyenne,réseaux sociaux
Maluku,-4.060366630913812,15.541814495220995,2023-10-05 18:00:00,incendie,Moyenne,application Kimia-kin
Matete,-4.3997012719458635,15.339621921591215,2023-06-16 04:00:00,agression,Moyenne,application Kimia-kin
Kimbanseke,-4.443671441763657,15.381703133349525,2023-08-12 18:00:00,agression,Moyenne,ONG
Bumbu,-4.378069100816343,15.276201936796163,2023-02-12 18:00:00,vol,Moyenne,ONG
Bumbu,-4.376005049528032,15.28272077678306,2023-07-02 04:00:00,enlèvement,Moyenne,réseaux sociaux
Ngaba,-4.37658954124951,15.331386332815221,2023-01-18 21:00:00,agression,Élevée,ONG
Ndjili,-4.390217519803482,15.459478328139614,2023-05-06 15:00:00,vandalisme,Élevée,ONG
Kiseno,-4.408177109864383,15.33441339110233,2023-06-10 13:00:00,violence sexuelle,Faible,réseaux sociaux
Bumbu,-4.377675898564548,15.30289592650318,2023-11-08 01:00:00,vol,Faible,réseaux sociaux
Bumbu,-4.369937914172044,15.30476319957105,2023-02-10 09:00:00,insécurité routière,Élevée,réseaux sociaux
Selembao,-4.375722426902905,15.274441892755332,2023-09-27 05:00:00,insécurité routière,Élevée,réseaux sociaux
Ngaba,-4.39673833411555,15.32179760752112,2023-01-10 08:00:00,vol,Faible,application Kimia-kin
Ngaliema,-4.372393790973387,15.253846546592385,2023-11-28 00:00:00,agression,Moyenne,application Kimia-kin
Ngaliema,-4.369967761875193,15.27017232377969,2023-05-15 18:00:00,vol,Élevée,ONG
Matete,-4.393817242769795,15.362925365521585,2023-09-20 20:00:00,insécurité routière,Élevée,réseaux sociaux
Kintambo,-4.3266891068248325,15.26637534994536,2023-03-15 17:00:00,agression,Élevée,application Kimia-kin
Limete,-4.377716312028431,15.359383780217074,2023-02-04 17:00:00,vol,Moyenne,réseaux sociaux
Kimbanseke,-4.44187814074996,15.392743486852149,2023-06-24 11:00:00,vol,Moyenne,réseaux sociaux
Bumbu,-4.372682889241188,15.289743595280468,2023-10-31 21:00:00,insécurité routière,Élevée,ONG
Selembao,-4.388945830358779,15.288434414103426,2023-06-03 19:00:00,vol,Moyenne,application Kimia-kin
Selembao,-4.378550604742197,15.288539434752966,2023-10-03 18:00:00,agression,Moyenne,ONG
Kimbanseke,-4.452039476946675,15.390597388015314,2023-05-20 10:00:00,agression,Faible,application Kimia-kin
Matete,-4.393029659989744,15.356831344109931,2023-11-29 11:00:00,violence sexuelle,Faible,ONG
Bumbu,-4.370400064708751,15.298711337434018,2023-09-27 20:00:00,agression,Faible,réseaux sociaux
MontNgafula,-4.4582466311082305,15.231014942177056,2023-05-24 15:00:00,enlèvement,Élevée,ONG
Matete,-4.383504313390352,15.346035498432403,2023-11-17 18:00:00,agression,Faible,application Kimia-kin
Ngaba,-4.37578744533598,15.328259154611583,2023-01-02 23:00:00,violence sexuelle,Moyenne,application Kimia-kin
NSele,-4.4267549566062705,15.491228153862135,2023-10-03 08:00:00,vandalisme,Faible,application Kimia-kin
Kinshasa,-4.3303721198893985,15.311422310220276,2023-10-06 11:00:00,vol,Élevée,réseaux sociaux
Kimbanseke,-4.430705258919391,15.395367992071073,2023-12-30 22:00:00,agression,Moyenne,réseaux sociaux
Bumbu,-4.379590115908622,15.288232189355833,2023-02-05 15:00:00,insécurité routière,Faible,application Kimia-kin
Ngaba,-4.374942973088621,15.317926601330843,2023-12-06 08:00:00,vol,Moyenne,application Kimia-kin
Ngaba,-4.374966322056126,15.326838040543752,2023-01-21 20:00:00,insécurité routière,Moyenne,réseaux sociaux
Kimbanseke,-4.4361067539278345,15.407418897455818,2023-04-03 22:00:00,vol,Moyenne,réseaux sociaux
Gombe,-4.300442976651536,15.306809927247425,2023-04-30 17:00:00,vol,Faible,ONG
Bumbu,-4.375692600747025,15.279266369389887,2023-10-11 19:00:00,agression,Faible,application Kimia-kin
Selembao,-4.3724286207208785,15.282513576830516,2023-04-04 16:00:00,enlèvement,Moyenne,ONG
Makala,-4.374530565682416,15.311046876296906,2023-03-12 21:00:00,violence sexuelle,Moyenne,réseaux sociaux
Matete,-4.394467788283925,15.364459297671315,2023-03-14 23:00:00,insécurité routière,Élevée,réseaux sociaux
